"","NS.1404.001.NEBNext_S05.3016","NS.1404.001.NEBNext_S02.2066","NS.1404.001.NEBNext_S04.3007","NS.1404.001.NEBNext_S01.1014","NS.1404.001.NEBNext_S03.3005","NS.1404.001.NEBNext_S09.3031","NS.1404.001.NEBNext_S08.3027","NS.1404.001.NEBNext_S10.3034","NS.1404.001.NEBNext_S06.3019","NS.1404.001.NEBNext_S07.3021","NS.1404.001.NEBNext_S13.3055","NS.1404.001.NEBNext_S12.3053","NS.1404.001.NEBNext_S14.3061","NS.1404.001.NEBNext_S11.3037-1","NS.1404.001.NEBNext_S15.3070-2","NS.1404.001.NEBNext_S19.4095","NS.1404.001.NEBNext_S16.4026","NS.1404.001.NEBNext_S20.4219","NS.1404.001.NEBNext_S17.4070-2","NS.1404.001.NEBNext_S18.4093","NS.1404.002.NEBNext_S45.6175","NS.1404.001.NEBNext_S24.5055-1","NS.1404.001.NEBNext_S21.4260","NS.1404.001.NEBNext_S22.4264","NS.1404.001.NEBNext_S25.5069","NS.1404.001.NEBNext_S23.5010","NS.1404.001.NEBNext_S26.5100","NS.1404.001.NEBNext_S28.5128","NS.1404.001.NEBNext_S27.5101","NS.1404.001.NEBNext_S30.5135","NS.1404.001.NEBNext_S29.5134","NS.1404.001.NEBNext_S31.5137","NS.1404.001.NEBNext_S35.5211","NS.1404.001.NEBNext_S34.5210","NS.1404.001.NEBNext_S32.5159","NS.1404.001.NEBNext_S33.5162","NS.1404.001.NEBNext_S38.6142","NS.1404.001.NEBNext_S40.6144","NS.1404.001.NEBNext_S37.6003","NS.1404.001.NEBNext_S39.6143","NS.1404.001.NEBNext_S36.5223","NS.1404.001.NEBNext_S42.6159","NS.1404.001.NEBNext_S43.6164","NS.1404.002.NEBNext_S01.6196","NS.1404.001.NEBNext_S41.6156","NS.1404.001.NEBNext_S44.6170","NS.1404.002.NEBNext_S03.6213","NS.1404.002.NEBNext_S02.6199","NS.1404.002.NEBNext_S04.6215","NS.1404.002.NEBNext_S05.7037","NS.1404.002.NEBNext_S06.7050","NS.1404.002.NEBNext_S08.7077","NS.1404.002.NEBNext_S07.7056","NS.1404.002.NEBNext_S10.7131","NS.1404.002.NEBNext_S09.7100","NS.1404.002.NEBNext_S11.7147","NS.1404.002.NEBNext_S12.7156","NS.1404.002.NEBNext_S15.7183","NS.1404.002.NEBNext_S16.7227","NS.1404.002.NEBNext_S13.7180","NS.1404.002.NEBNext_S14.7181","NS.1404.002.NEBNext_S20.7257","NS.1404.002.NEBNext_S17.7238","NS.1404.002.NEBNext_S18.7245","NS.1404.002.NEBNext_S19.7254","NS.1404.002.NEBNext_S21.7308","NS.1404.002.NEBNext_S24.7353","NS.1404.002.NEBNext_S25.7359","NS.1404.002.NEBNext_S23.7343","NS.1404.002.NEBNext_S22.7338","NS.1404.002.NEBNext_S26.7362","NS.1404.002.NEBNext_S27.7364","NS.1404.002.NEBNext_S28.7411","NS.1404.002.NEBNext_S30.7486","NS.1404.002.NEBNext_S31.7495","NS.1404.002.NEBNext_S29.7455","NS.1404.002.NEBNext_S32.Bio1","NS.1404.002.NEBNext_S40.7288","NS.1404.002.NEBNext_S39.7117","NS.1404.002.NEBNext_S37.5129","NS.1404.002.NEBNext_S38.6147","NS.1404.002.NEBNext_S46.6181","NS.1404.002.NEBNext_S48.6189"
"hsa-let-7a-5p",2807.08048469586,1437.65504533786,8260.32017400184,6690.78430061911,2116.4127929499,6338.60077323145,2373.83615091054,6215.57603425994,6918.74960909964,4518.06290063461,7080.39572690799,2890.41447114089,7637.54493821725,2090.99116875311,1459.26982337935,4389.2062214426,5711.50179067273,1949.36505226202,2821.04611531396,1194.41048977351,3440.80673128351,1676.01708276033,7233.33168485758,4860.29521189832,2892.56668903277,2100.88732834152,2852.33795498779,1469.10176939565,4040.87553465217,3292.68510949905,3836.83886749522,2577.61217321363,3633.48327955441,6602.99811995941,3475.27000769981,5160.6403758579,2946.84989906062,1809.70674664563,9166.09787427191,6581.76448354988,1712.49774199908,3704.73270521784,6473.605776422,5760.0699482908,5114.51212761194,2354.99488957916,4345.94267817948,4039.79964960826,3975.90585945493,2104.55345907158,3261.6907636794,8235.39365243108,3602.92419856306,11945.9389202146,4466.56703850532,3292.35687625926,3733.22117721892,3271.37015434377,2066.73477583771,3071.59019686389,7072.41441037543,2722.22359302319,3538.73849167538,5061.86581202236,2104.87841852861,2814.24077001488,3240.84635784929,4403.36228915724,1552.06713986127,2690.89977538214,4119.642634305,1970.86518291268,875.240931213129,2958.08448363678,1282.23558663997,4765.62536271807,624.900517791844,6900.15079909216,3359.94499607215,2407.00623225968,3945.10801276952,2949.43261601299,3503.11901878195
"hsa-let-7b-3p",288.594747021802,397.841647766452,78.9314784991217,114.338682803744,137.429402139604,76.357184438867,160.343550035118,161.552808796251,140.469261166659,88.4838613033005,89.993814846681,230.246387459303,195.516184927951,139.252054578695,218.712451743856,113.852397515058,152.694509998889,190.678632842344,212.587576893294,349.46990923152,102.648115575581,330.032401959157,148.538371579301,70.7140183420267,70.7120962941548,167.089739046329,107.022395631033,181.688276151373,328.092235630746,100.760720487597,143.868793024643,469.534275767951,126.924519534464,231.165767295236,100.387883156665,127.172923547927,117.711635086444,187.868989108387,112.984320074745,126.1719229119,374.683937940892,100.785411305176,352.946335930898,71.327000079627,117.38672083657,238.72149689142,124.728799430024,229.29490744966,113.321223126312,90.1032061987834,192.367831179552,66.1242096292363,97.6364954572431,114.148754299726,113.311699628784,117.584174152116,351.136664808962,263.24982025106,138.970096995984,333.146756350127,123.798995513753,166.511783833058,87.6905621438344,70.6937448397996,109.830979481235,132.16534611842,62.7839239066745,131.881066896556,187.717147502941,262.208807183939,136.834308717644,234.78066113386,137.248577902316,569.636363149312,106.404003513191,340.660672315969,153.48433770326,95.0622736377348,328.777433983193,347.716187829939,192.117983801446,116.957226574158,107.515273818397
"hsa-let-7b-5p",8024.5697269058,4884.61134202143,7173.60285395143,10420.5909879412,5958.32807943038,5931.99876609448,6376.16148186524,11322.1593498039,8580.11787071622,7194.12263639878,9484.28933407728,6547.33796175727,10418.2195683037,4274.81704055868,5433.22420820434,8200.31707964063,12799.0719631212,5970.27758171417,6211.68341766269,4170.34091682947,7047.10736318888,4465.32318964094,10171.2258702744,6003.79263045354,5830.43331475398,5672.25693078329,7621.52346029567,4910.26212414248,7944.41013345891,6187.58441811662,9020.16805843939,7249.51269098696,7161.55467000393,9656.81957212279,7352.09154802629,7967.6601231549,7675.61041201603,5656.61784393533,7663.34110842228,6710.38634671249,6993.29956819166,7256.54961397266,9948.26380406469,8921.68069600636,8010.96121616079,5787.89788782142,6699.89305957945,8171.53880316977,7631.17414959898,4387.70434471576,8036.63707767628,7621.02441359742,8030.94554183521,13321.7031922746,8215.33527685173,8046.35036177052,10601.1351257324,8240.11228403765,5152.58359631263,8546.18740946288,13296.2237403916,6056.7983389699,6149.65426131277,7788.90122940422,5675.03131625394,6790.6554835644,6534.51093739785,7222.42784004081,4469.84454126568,7219.43420221636,5737.741547102,5292.25765509994,2456.97454212015,7991.93625798885,3992.17046092529,11760.0412943119,2090.8325595291,9220.18412598066,8181.92780242991,6427.68564687577,10860.8202820344,6760.65532257241,7588.69942388104
"hsa-let-7c-3p",0,0,2.81898137496863,0,0,0,0,3.36568351658857,1.27699328333327,0,0,0.587363233314548,1.24137260271715,0,0,0,0,0,0,1.55319959658453,0,0,1.21752763589591,0,0,0.925704925464429,0,0,0,0,1.01316051425805,2.06843293289846,1.07563152147851,1.73808847590403,0,0,0,0,0.653088555345345,0,0.800606705001907,0,2.19221326665154,1.65876744371225,2.72992374038534,0,0,0,0.878459094002415,0,0.570824424865138,0.837015311762484,0,2.7178274833268,0,0,0.798037874565823,0,1.78166791020492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54792489986226,0,0.906012426372257,0,3.42566751847693,0.776028561722723,0,0.535147587190656,0,1.04383760988735
"hsa-let-7c-5p",1367.6119489434,685.171726708889,2539.90221884674,3698.26498172111,1091.8002503313,1740.94380520617,1103.61459047609,6187.80914524808,3113.30962476651,2199.01630960724,3049.20219715813,1244.62269139353,3306.39592733712,773.622525437196,681.060402058193,1553.69263160636,2388.57840641119,873.789463122198,950.813635050174,532.747461628495,2587.15148440495,615.959091214095,4777.57844325554,1559.15786783395,1415.89924063999,1211.28489497021,1436.2023270843,732.99132867936,1727.44377085584,1484.24922179121,1866.24166726332,1152.80662126874,1473.61518442556,2612.34697928376,1969.45176034984,2167.46895786032,1794.08767959338,977.505833954574,2601.25171594051,1880.32914242491,895.078296192132,2135.60811196657,2527.62189644923,4220.73376052583,1946.43562689475,1309.3068602511,2080.0361552007,1529.74042119797,1547.84492363226,1031.35991381107,1218.1393226622,2209.72042305296,1483.79969856853,7189.19725889605,1771.26573143571,1422.44188453463,2975.08519638139,1481.27137663656,1011.98737299639,1241.00028825958,4064.20463049851,978.460123891977,1354.9606215128,1952.30944653474,989.770944501483,1230.89992351621,1347.36293844165,1956.666809511,614.841671531372,1047.38656129275,1635.36926244097,822.809289478297,379.121071746561,1654.73171795276,569.732828937719,1855.51344921038,230.22650655489,2606.93298156094,1642.07643660528,1606.92141171894,1845.18888063338,1172.21039867183,2120.03418568121
"hsa-let-7d-3p",1437.13173618144,2744.70550933825,597.62405149335,731.373298623951,942.15490133484,556.452981598243,1163.74342173925,795.142730794049,906.66523116662,548.599940080463,618.310445534844,1698.65447074567,1165.02818765004,842.143377690204,1549.80660572914,790.096379307086,1512.40276570328,1349.56042079678,1403.795602692,1971.01028806577,582.370941428808,1648.64112315081,792.610490968235,591.583129056467,645.800316936461,1164.53679623425,795.023510401956,1416.07686476778,1420.71568080105,657.135133614764,1258.34535870849,3211.24212832486,706.689909611383,1414.80401938588,859.241026229087,954.718469533712,1001.22540188469,1163.90709658555,690.314603000029,883.203460383298,1670.06558663398,569.958877725822,1464.39846212323,535.781884319058,793.042846581942,1282.9449771588,677.448577296407,1060.07355762959,874.945257626406,440.862116044047,1203.29788761571,503.046202369253,906.231697272158,703.373752684976,1028.33923219595,1148.07881151303,1592.88359763338,1368.11324494655,627.147104392132,2119.08813059823,757.607528101258,1130.86993254699,865.590710193978,642.05414833955,607.300710072712,911.059785909639,607.907834651927,861.105789736337,1277.29276453088,2236.74253200001,700.113404798045,1477.61039942961,814.491560666202,3266.12153870937,802.744127770403,1730.48373437101,930.303026487107,710.826010083963,2092.17300240446,2625.31348287135,1397.80549774199,822.218096592768,925.88395997008
"hsa-let-7d-5p",798.01705350563,409.897455274526,1783.7104650114,1259.69686744125,684.093023983806,1387.79182717641,769.147966574707,1093.00572201214,1316.5800751166,1214.15246205746,1823.69818909892,926.271818937043,1809.30056846024,541.535767806037,477.09832496683,1249.43191410922,1781.43594998704,579.44089397722,734.638082175559,410.044693498317,947.923924447969,628.126184373879,1534.08482122884,1157.29527579268,745.791640602414,596.153971999092,939.31263308308,496.718591881651,1072.78530999263,1011.11192558858,1202.6215304243,835.302166068829,903.53047804195,1887.56408483178,1120.11743311647,1339.92341187453,1228.53062825851,559.203787892932,2021.30907879384,1371.96654040124,557.222266681327,802.807931430884,1517.01158052287,1616.46887389759,1360.86698458209,604.85876206231,1100.54823026492,968.134053676343,1102.46616297303,576.016925342222,795.729248262002,1884.95848208912,1149.63535496134,2157.41145626481,1455.9842241004,1045.19265912992,813.998632057139,910.765796032771,709.103828261558,884.95684762422,1689.80338320909,800.015899523651,1093.30329898684,1512.652458079,640.896068502266,720.741687499115,960.693692794193,1041.68803493129,520.983097779901,978.574857750005,1085.37505070209,538.487754894174,292.496969300017,789.441698929752,479.49145886957,1269.32340934753,214.564839442313,1705.12600732189,1068.59132949219,725.815343528514,1013.03438255191,685.914561863485,835.07008790988
"hsa-let-7e-3p",5.84199892756683,10.0465062567286,3.52372671871079,7.88542640025823,3.05398671421342,2.86339441645751,6.2634199232468,4.20710439573571,5.10797313333307,0.769424880898265,3.17625228870639,7.63572203308913,3.10343150679287,2.2103500726777,4.06906886965313,1.96297237094928,1.81779178570106,11.1074931752822,5.38196397198212,4.6595987897536,2.09485950154247,1.52088664497307,7.30516581537544,1.72473215468358,1.65731475689425,7.40563940371543,1.91111420769701,3.11911203693345,9.15606238969525,2.62854053445906,6.07896308554828,6.55003762084513,3.22689456443554,3.47617695180806,7.26491259686392,1.84308584852068,0,7.33863238704635,3.26544277672672,3.67491037607475,4.80364023001144,5.21303851578496,6.57663979995462,1.65876744371225,0,4.39364718205067,1.22283136696102,5.53852433453285,1.75691818800483,3.21797164995655,3.42494654919083,3.34806124704994,1.37516190784849,4.34852397332288,2.37053764913773,3.26622705978101,15.1627196167506,11.7873053843758,0,5.72417107130802,3.17433321830136,4.339069285552,1.41436390554572,3.8736298542356,3.87638751110242,1.76220461491226,0.996570220740864,6.46475818120373,4.08080755441176,1.44866744300519,3.98546530245566,2.15395101957669,2.24997668692321,15.4792489986226,5.38754448168056,5.43607455823354,0,6.85133503695386,4.13881899585452,11.2529510624576,2.67573793595328,2.63813293024417,4.1753504395494
"hsa-let-7e-5p",261.721551954994,87.4046044335386,330.525566215072,246.41957500807,145.064368925138,318.79124503227,171.617705896962,452.684432981163,289.877475316652,150.80727665606,267.334567632788,289.570074024072,483.514628758329,110.517503633885,59.5101322186771,198.260209465878,232.677348569736,120.331176065557,139.931063271535,91.6387761984875,178.06305763111,115.587385017954,381.086150035419,119.006518673167,87.2852438630973,110.621738592999,169.133607381185,109.948699301904,262.473788504597,105.141621378362,254.30328907877,150.650865279438,141.983360835164,278.094156144645,212.663805108198,175.093155609465,230.01124097351,74.8540503478728,360.50488255063,195.99522005732,135.302533145322,265.864964305033,394.598387997277,225.592372344867,170.620233774084,243.115144073471,236.006453823477,188.309827374117,167.785686954461,164.116554147784,174.672274008732,307.184619416832,170.520076573213,588.681432888585,162.144775201021,156.778898869489,386.250331289858,168.951377176053,149.660104457213,217.518500709705,292.038656083725,121.493939995456,144.265118365663,296.332683849023,122.75227118491,199.129121485085,151.478673552611,248.67769803697,121.063957447549,104.304055896374,236.470941279036,109.851501998411,65.2493239207731,258.503458276997,80.8131672252084,329.788523199502,62.6466684503102,322.869163616451,165.29408364694,171.044856149355,291.655435018908,102.007806636108,283.923829889359
"hsa-let-7f-1-3p",2.92099946378342,6.02790375403714,5.63796274993727,7.88542640025823,6.10797342842684,4.77232402742919,2.50536796929872,0.841420879147142,5.10797313333307,7.69424880898265,10.0581322475702,8.81044849971822,8.68960821902003,13.2621004360662,6.61223691318634,7.85188948379713,9.0889589285053,3.70249772509406,10.7639279439642,0,5.23714875385618,6.0835465798923,9.74022108716726,6.89892861873431,6.07682077527893,6.01708201551879,7.64445683078804,1.55955601846672,7.63005199141271,7.00944142522415,6.07896308554828,3.79212704364718,6.45378912887107,33.0236810421766,2.64178639885961,12.9016009396448,1.35300729984418,1.46772647740927,13.0617711069069,4.899880501433,1.60121341000381,6.95071802104661,10.9610663332577,6.63506977484902,9.5547330913487,1.46454906068356,7.33698820176614,9.96934380215913,11.4199682220314,4.82695747493482,1.14164884973028,12.5552296764373,2.75032381569699,6.52278595998432,3.31875270879283,1.63311352989051,3.19215149826329,3.92910179479194,3.56333582040984,4.57933685704642,3.17433321830136,1.627150982082,5.65745562218286,9.68407463558899,6.46064585183736,1.76220461491226,0.996570220740864,7.32672593869756,4.08080755441176,2.89733488601038,9.29941903906321,2.15395101957669,4.49995337384642,3.09584979972452,1.34688612042014,6.3420869846058,4.69850013377327,5.99491815733463,3.88014280861361,3.37588531873728,4.28118069752525,2.63813293024417,5.21918804943675
