Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,piRNA metabolic process (GO:0034587),5/19,0.0078172460031864,0.99999607850291,0,0,4.859283625730995,23.57444015081996,EXD1;PIWIL1;ASZ1;TDRD9;TDRD12
GO_Biological_Process_2021,kinetochore organization (GO:0051383),4/13,0.0095750254785977,0.99999607850291,0,0,6.044314584855125,28.097583147703403,CENPE;CENPF;NUF2;CENPA
GO_Biological_Process_2021,triglyceride catabolic process (GO:0019433),5/23,0.0180112049281926,0.99999607850291,0,0,3.778630604288499,15.17785687127108,LIPI;LIPG;PNPLA5;FABP12;PNPLA1
GO_Biological_Process_2021,kinetochore assembly (GO:0051382),3/9,0.0198216058088515,0.99999607850291,0,0,6.795985401459854,26.64694141789396,CENPE;CENPF;CENPA
GO_Biological_Process_2021,"protein localization to chromosome, centromeric region (GO:0071459)",4/17,0.0255989128747579,0.99999607850291,0,0,4.183626453896724,15.333850246257589,CDK1;TTK;CENPA;AURKB
GO_Biological_Process_2021,acylglycerol catabolic process (GO:0046464),6/35,0.0302358638865465,0.99999607850291,0,0,2.8148222889286885,9.84829337240145,LIPI;LIPG;APOA2;PNPLA5;FABP12;PNPLA1
GO_Biological_Process_2021,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338),4/20,0.0442860176808609,0.99999607850291,0,0,3.3986486486486487,10.593881072303777,CLDN6;CLDN8;CLDN16;CLDN2
GO_Biological_Process_2021,protein localization to condensed chromosome (GO:1903083),3/12,0.0445024534893017,0.99999607850291,0,0,4.52992700729927,14.098088465343553,CDK1;TTK;AURKB
GO_Biological_Process_2021,amino-acid betaine transport (GO:0015838),2/6,0.0586885903382385,0.99999607850291,0,0,6.791757840991977,19.25809689179284,SLC22A16;PDZK1
GO_Biological_Process_2021,carnitine transport (GO:0015879),2/6,0.0586885903382385,0.99999607850291,0,0,6.791757840991977,19.25809689179284,SLC22A16;PDZK1
GO_Biological_Process_2021,regulation of very-low-density lipoprotein particle remodeling (GO:0010901),2/6,0.0586885903382385,0.99999607850291,0,0,6.791757840991977,19.25809689179284,APOA2;NR1H4
GO_Biological_Process_2021,regulation of vitamin D biosynthetic process (GO:0060556),2/6,0.0586885903382385,0.99999607850291,0,0,6.791757840991977,19.25809689179284,IFNG;TNF
GO_Biological_Process_2021,positive regulation of ion transmembrane transport (GO:0034767),2/6,0.0586885903382385,0.99999607850291,0,0,6.791757840991977,19.25809689179284,WNK3;PDZK1
GO_Biological_Process_2021,positive regulation of sterol transport (GO:0032373),2/6,0.0586885903382385,0.99999607850291,0,0,6.791757840991977,19.25809689179284,LIPG;ABCA13
GO_Biological_Process_2021,prepulse inhibition (GO:0060134),2/6,0.0586885903382385,0.99999607850291,0,0,6.791757840991977,19.25809689179284,CTNNA2;DRD1
GO_Biological_Process_2021,protein localization to kinetochore (GO:0034501),3/14,0.0665152642648432,0.99999607850291,0,0,3.7059057730590577,10.044204690815326,CDK1;TTK;AURKB
GO_Biological_Process_2021,cilium-dependent cell motility (GO:0060285),4/23,0.0688859822831965,0.99999607850291,0,0,2.8615585713736498,7.655535005445635,DNAH7;TEKT3;CCDC65;CFAP54
GO_Biological_Process_2021,detection of chemical stimulus involved in sensory perception of smell (GO:0050911),4/23,0.0688859822831965,0.99999607850291,0,0,2.8615585713736498,7.655535005445635,OR10J1;OR6K3;OR13G1;OR12D2
GO_Biological_Process_2021,regulation of calcidiol 1-monooxygenase activity (GO:0060558),2/7,0.0784994043829332,0.99999607850291,0,0,5.43311451495259,13.825452227267164,IFNG;TNF
GO_Biological_Process_2021,determination of digestive tract left/right asymmetry (GO:0071907),2/7,0.0784994043829332,0.99999607850291,0,0,5.43311451495259,13.825452227267164,ZIC3;CCDC103
GO_Biological_Process_2021,retinal rod cell development (GO:0046548),2/7,0.0784994043829332,0.99999607850291,0,0,5.43311451495259,13.825452227267164,RPGRIP1;RORB
GO_Biological_Process_2021,positive regulation of gliogenesis (GO:0014015),2/7,0.0784994043829332,0.99999607850291,0,0,5.43311451495259,13.825452227267164,LRP2;TNF
GO_Biological_Process_2021,positive regulation of phospholipid biosynthetic process (GO:0071073),2/7,0.0784994043829332,0.99999607850291,0,0,5.43311451495259,13.825452227267164,NR1H4;HTR2C
GO_Biological_Process_2021,glucuronate metabolic process (GO:0019585),3/15,0.0790498144660529,0.99999607850291,0,0,3.396897810218978,8.620229656224273,UGT2B15;UGT2B4;UGT1A9
GO_Biological_Process_2021,triglyceride metabolic process (GO:0006641),7/55,0.0810215377021924,0.99999607850291,0,0,1.9834827964860908,4.984572126744823,LIPI;APOH;LIPG;APOA2;PNPLA5;FABP12;PNPLA1
GO_Biological_Process_2021,detection of chemical stimulus involved in sensory perception (GO:0050907),4/25,0.0884529976259528,0.99999607850291,0,0,2.5887509130752373,6.278456087464655,OR10J1;OR6K3;OR13G1;OR12D2
GO_Biological_Process_2021,regulation of nitrogen compound metabolic process (GO:0051171),2/8,0.1000271037034798,0.99999607850291,0,0,4.527352297592998,10.423386997289793,IFNG;TNF
GO_Biological_Process_2021,mitotic spindle elongation (GO:0000022),2/8,0.1000271037034798,0.99999607850291,0,0,4.527352297592998,10.423386997289793,KIF4A;AURKB
GO_Biological_Process_2021,mitotic spindle midzone assembly (GO:0051256),2/8,0.1000271037034798,0.99999607850291,0,0,4.527352297592998,10.423386997289793,KIF4A;AURKB
GO_Biological_Process_2021,negative regulation of amyloid-beta clearance (GO:1900222),2/8,0.1000271037034798,0.99999607850291,0,0,4.527352297592998,10.423386997289793,IFNG;TNF
GO_Biological_Process_2021,negative regulation of B cell apoptotic process (GO:0002903),2/8,0.1000271037034798,0.99999607850291,0,0,4.527352297592998,10.423386997289793,AURKB;IL2
GO_Biological_Process_2021,negative regulation of muscle cell apoptotic process (GO:0010656),2/8,0.1000271037034798,0.99999607850291,0,0,4.527352297592998,10.423386997289793,APOH;ALOX12
GO_Biological_Process_2021,positive regulation of defense response to bacterium (GO:1900426),2/8,0.1000271037034798,0.99999607850291,0,0,4.527352297592998,10.423386997289793,KLK5;KLK7
GO_Biological_Process_2021,positive regulation of steroid biosynthetic process (GO:0010893),2/8,0.1000271037034798,0.99999607850291,0,0,4.527352297592998,10.423386997289793,IFNG;TNF
GO_Biological_Process_2021,ncRNA metabolic process (GO:0034660),5/37,0.1068120321613735,0.99999607850291,0,0,2.123880665204678,4.750451384485109,EXD1;PIWIL1;ASZ1;TDRD9;TDRD12
GO_Biological_Process_2021,negative regulation of lipid catabolic process (GO:0050995),3/18,0.1220001732276915,0.99999607850291,0,0,2.717080291970803,5.716010969444769,HCAR2;APOA2;TNF
GO_Biological_Process_2021,cilium movement involved in cell motility (GO:0060294),2/9,0.1229429780717074,0.99999607850291,0,0,3.8803792851932895,8.13340933607604,TEKT3;CFAP54
GO_Biological_Process_2021,cytolysis by host of symbiont cells (GO:0051838),2/9,0.1229429780717074,0.99999607850291,0,0,3.8803792851932895,8.13340933607604,CFHR2;CFHR5
GO_Biological_Process_2021,cytolysis in other organism involved in symbiotic interaction (GO:0051801),2/9,0.1229429780717074,0.99999607850291,0,0,3.8803792851932895,8.13340933607604,CFHR2;CFHR5
GO_Biological_Process_2021,regulation of smooth muscle cell apoptotic process (GO:0034391),2/9,0.1229429780717074,0.99999607850291,0,0,3.8803792851932895,8.13340933607604,IFNG;APOH
GO_Biological_Process_2021,hepoxilin biosynthetic process (GO:0051122),2/9,0.1229429780717074,0.99999607850291,0,0,3.8803792851932895,8.13340933607604,ALOX12;ALOXE3
GO_Biological_Process_2021,hepoxilin metabolic process (GO:0051121),2/9,0.1229429780717074,0.99999607850291,0,0,3.8803792851932895,8.13340933607604,ALOX12;ALOXE3
GO_Biological_Process_2021,retinal rod cell differentiation (GO:0060221),2/9,0.1229429780717074,0.99999607850291,0,0,3.8803792851932895,8.13340933607604,RPGRIP1;RORB
GO_Biological_Process_2021,negative regulation of production of molecular mediator of immune response (GO:0002701),2/9,0.1229429780717074,0.99999607850291,0,0,3.8803792851932895,8.13340933607604,APOA2;TNF
GO_Biological_Process_2021,cellular glucuronidation (GO:0052695),3/19,0.1378631644677726,0.99999607850291,0,0,2.547125912408759,5.047113815012406,UGT2B15;UGT2B4;UGT1A9
GO_Biological_Process_2021,cilium movement (GO:0003341),6/52,0.1444148229133912,0.99999607850291,0,0,1.7729397919913488,3.430754458468814,DNAH7;CCDC103;ZBBX;TEKT3;ROPN1L;CFAP54
GO_Biological_Process_2021,regulation of tau-protein kinase activity (GO:1902947),2/10,0.1469553020102061,0.99999607850291,0,0,3.3951495258935083,6.510629742586983,IFNG;DKK1
GO_Biological_Process_2021,negative regulation of lymphocyte apoptotic process (GO:0070229),2/10,0.1469553020102061,0.99999607850291,0,0,3.3951495258935083,6.510629742586983,AURKB;IL2
GO_Biological_Process_2021,spermatid development (GO:0007286),5/43,0.1701914439147829,0.99999607850291,0,0,1.7879539858417974,3.166164943447668,PIWIL1;FAM9B;FAM9A;FAM9C;GALNTL5
GO_Biological_Process_2021,regulation of lipid catabolic process (GO:0050994),3/21,0.1714671264437821,0.99999607850291,0,0,2.263868613138686,3.99202376407201,HCAR2;APOA2;TNF
GO_Biological_Process_2021,regulation of transposition (GO:0010528),3/21,0.1714671264437821,0.99999607850291,0,0,2.263868613138686,3.99202376407201,PIWIL1;TDRD9;AICDA
GO_Biological_Process_2021,spindle assembly checkpoint signaling (GO:0071173),3/21,0.1714671264437821,0.99999607850291,0,0,2.263868613138686,3.99202376407201,CENPF;TTK;BUB1
GO_Biological_Process_2021,mitotic spindle assembly checkpoint signaling (GO:0007094),3/21,0.1714671264437821,0.99999607850291,0,0,2.263868613138686,3.99202376407201,CENPF;TTK;BUB1
GO_Biological_Process_2021,mitotic spindle checkpoint signaling (GO:0071174),3/21,0.1714671264437821,0.99999607850291,0,0,2.263868613138686,3.99202376407201,CENPF;TTK;BUB1
GO_Biological_Process_2021,"synaptic transmission, GABAergic (GO:0051932)",2/11,0.1718058118579978,0.99999607850291,0,0,3.0177486019936786,5.315433540276579,GABRG3;GABRG1
GO_Biological_Process_2021,urate metabolic process (GO:0046415),2/11,0.1718058118579978,0.99999607850291,0,0,3.0177486019936786,5.315433540276579,GCKR;SLC17A3
GO_Biological_Process_2021,organophosphate catabolic process (GO:0046434),2/11,0.1718058118579978,0.99999607850291,0,0,3.0177486019936786,5.315433540276579,LIPG;APOA2
GO_Biological_Process_2021,regulation of interleukin-17 production (GO:0032660),4/33,0.1880822906724155,0.99999607850291,0,0,1.8738067051207776,3.130898081800032,IFNG;NR1H4;LY9;IL2
GO_Biological_Process_2021,negative regulation of mitotic metaphase/anaphase transition (GO:0045841),3/22,0.1890611737368242,0.99999607850291,0,0,2.1446023818670765,3.572231258666194,CENPF;TTK;BUB1
GO_Biological_Process_2021,attachment of mitotic spindle microtubules to kinetochore (GO:0051315),2/12,0.1972664914736287,0.99999607850291,0,0,2.7158278628738146,4.408331015143527,CENPE;NUF2
GO_Biological_Process_2021,regulation of B cell apoptotic process (GO:0002902),2/12,0.1972664914736287,0.99999607850291,0,0,2.7158278628738146,4.408331015143527,AURKB;IL2
GO_Biological_Process_2021,negative regulation of hemostasis (GO:1900047),2/12,0.1972664914736287,0.99999607850291,0,0,2.7158278628738146,4.408331015143527,APOH;ADTRP
